Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Январь, 2020, тыс. рублей;Декабрь, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %;employer_id
181;4;ТЭМБР-Банк;2764;Москва и обл.;12 249 861,00;11 879 353,00;370 508,00;3,12;
182;-1;Консервативный Коммерческий Банк;1087;Астраханская обл.;12 210 517,00;12 470 892,00;-260 375,00;-2,09;
183;1;Юг-Инвестбанк;2772;Краснодарский край;12 108 645,00;11 917 210,00;191 435,00;1,61;
184;-1;Снежинский;1376;Челябинская обл.;12 046 249,00;11 997 642,00;48 607,00;0,41;
185;1;Нацинвестпромбанк;3077;Москва и обл.;12 042 474,00;11 715 466,00;327 008,00;2,79;
186;-16;Инкахран;3454;Москва и обл.;11 774 400,00;13 621 917,00;-1 847 517,00;-13,56;
187;0;Актив Банк;2529;Мордовия;11 454 526,00;11 447 808,00;6 718,00;0,06;
188;6;Энергомашбанк;52;Санкт-Петербург и обл.;11 359 553,00;10 430 715,00;928 838,00;8,9;
189;6;Екатеринбург;3161;Свердловская обл.;11 048 203,00;10 378 823,00;669 380,00;6,45;
190;-2;Банк Раунд;2506;Москва и обл.;10 996 055,00;10 890 141,00;105 914,00;0,97;
191;-1;Итуруп;2390;Сахалинская обл.;10 943 244,00;10 751 443,00;191 801,00;1,78;
192;1;Банк Жилищного Финансирования;3138;Москва и обл.;10 768 894,00;10 576 838,00;192 056,00;1,82;
193;-1;Русьуниверсалбанк;3293;Москва и обл.;10 593 888,00;10 628 559,00;-34 671,00;-0,33;
194;-3;Банк БКФ;2684;Москва и обл.;10 463 082,00;10 650 479,00;-187 397,00;-1,76;
195;2;Солид Банк;1329;Приморский край;10 300 348,00;9 820 368,00;479 980,00;4,89;
196;-7;МБА-Москва;3395;Москва и обл.;10 291 334,00;10 752 434,00;-461 100,00;-4,29;
197;2;Углеметбанк;2997;Челябинская обл.;9 434 841,00;9 010 319,00;424 522,00;4,71;
198;0;Автоторгбанк;2776;Москва и обл.;9 243 386,00;9 361 238,00;-117 852,00;-1,26;
199;1;Томскпромстройбанк;1720;Томская обл.;9 080 149,00;8 999 965,00;80 184,00;0,89;
200;1;Зираат Банк;2559;Москва и обл.;9 023 230,00;8 795 102,00;228 128,00;2,59;
201;1;Хакасский Муниципальный Банк;1049;Хакасия;8 645 034,00;8 713 623,00;-68 589,00;-0,79;
202;7;Ставропольпромстройбанк;1288;Ставропольский край;8 587 809,00;7 577 666,00;1 010 143,00;13,33;
203;1;Нейва;1293;Свердловская обл.;8 517 405,00;8 383 760,00;133 645,00;1,59;
204;3;Белгородсоцбанк;760;Белгородская обл.;8 218 859,00;7 702 468,00;516 391,00;6,7;
205;0;Кузнецкбизнесбанк;1158;Кемеровская обл.;8 108 432,00;8 144 284,00;-35 852,00;-0,44;
206;2;Трансстройбанк;2807;Москва и обл.;7 977 312,00;7 702 212,00;275 100,00;3,57;
207;3;Северный Народный Банк;2721;Коми;7 957 783,00;7 476 150,00;481 633,00;6,44;
208;4;Сибсоцбанк;2015;Алтайский край;7 895 343,00;7 237 033,00;658 310,00;9,1;
209;4;Сити Инвест Банк;3194;Санкт-Петербург и обл.;7 893 869,00;7 211 992,00;681 877,00;9,45;
210;1;Новобанк;1352;Новгородская обл.;7 691 201,00;7 369 476,00;321 725,00;4,37;
211;-15;Морган Стэнли Банк;3456;Москва и обл.;7 376 641,00;10 252 235,00;-2 875 594,00;-28,05;
212;6;Нефтепромбанк;2156;Москва и обл.;7 337 365,00;6 814 162,00;523 203,00;7,68;
213;9;Гута-Банк;256;Москва и обл.;7 201 101,00;6 594 058,00;607 043,00;9,21;
214;7;Финам Банк;2799;Москва и обл.;7 170 582,00;6 651 390,00;519 192,00;7,81;
215;13;Горбанк;2982;Санкт-Петербург и обл.;7 156 318,00;6 046 095,00;1 110 223,00;18,36;
216;8;Славия;2664;Москва и обл.;7 040 433,00;6 433 440,00;606 993,00;9,43;
217;-1;Агророс;2860;Саратовская обл.;7 022 137,00;6 904 243,00;117 894,00;1,71;
218;-12;Ростфинанс;481;Ростовская обл.;7 017 955,00;7 986 170,00;-968 215,00;-12,12;
219;-2;Банк Оранжевый;1659;Санкт-Петербург и обл.;7 006 406,00;6 881 774,00;124 632,00;1,81;
220;0;Кузнецкий;609;Пензенская обл.;6 989 559,00;6 674 392,00;315 167,00;4,72;
221;5;Енисейский Объединенный Банк;2645;Красноярский край;6 982 764,00;6 360 696,00;622 068,00;9,78;
222;-7;Черноморский банк развития и реконструкции;3527;Симферополь;6 934 691,00;6 946 457,00;-11 766,00;-0,17;
223;14;Азия-Инвест Банк;3303;Москва и обл.;6 920 843,00;5 299 087,00;1 621 756,00;30,6;
224;-1;Автоградбанк;1455;Татарстан;6 817 594,00;6 532 693,00;284 901,00;4,36;
225;-6;ФорБанк;2063;Москва и обл.;6 752 257,00;6 744 088,00;8 169,00;0,12;
226;-1;Земский Банк;2900;Самарская обл.;6 507 657,00;6 378 283,00;129 374,00;2,03;
227;0;Венец;524;Ульяновская обл.;6 202 310,00;6 305 915,00;-103 605,00;-1,64;
228;3;Газтрансбанк;665;Краснодарский край;6 100 686,00;5 768 706,00;331 980,00;5,75;
229;7;Альба Альянс;2593;Москва и обл.;6 027 079,00;5 349 548,00;677 531,00;12,67;
230;5;Москва-Сити;3247;Москва и обл.;6 013 712,00;5 359 350,00;654 362,00;12,21;
231;-17;Ю Би Эс Банк;3463;Москва и обл.;5 899 049,00;7 033 674,00;-1 134 625,00;-16,13;
232;18;Платина;2347;Москва и обл.;5 861 889,00;4 348 900,00;1 512 989,00;34,79;
233;-1;Индустриальный Сберегательный Банк;3175;Москва и обл.;5 658 164,00;5 741 527,00;-83 363,00;-1,45;
