employer_group;employer_name;employer_id2;employer_type;employer_id
R-Style Softlab;R-Style Softlab (Эр-Стайл Софтлаб) 61;https://voronezh.hh.ru/employer/2419;IT;2419
АйТи Энерджи Сервис;АйТи Энерджи Сервис, ООО 2;https://voronezh.hh.ru/employer/196970;IT;196970
Linxdatacenter;;;IT;
BearingPoint;BearingPoint, ООО 14;https://voronezh.hh.ru/employer/3916;IT;3916
ИВС;ИВС, Группа компаний, ООО 1;https://voronezh.hh.ru/employer/153817;IT;153817
KPBS;KPBS, ООО 2;https://voronezh.hh.ru/employer/668994;IT;668994
Digital Design;Digital Design, ООО 23;https://voronezh.hh.ru/employer/4745;IT;4745
Digital Design;;;IT;
Actonic;Actonic 1;https://voronezh.hh.ru/employer/3853846;IT;3853846
Agiloft;Agiloft 19;https://voronezh.hh.ru/employer/1871949;IT;1871949
Akvelon ;Akvelon, ООО 110;https://voronezh.hh.ru/employer/213004;IT;213004
CorePartners ;CorePartners 8;https://voronezh.hh.ru/employer/25087;IT;25087
Craft Games - разработка и продвижение игр для мобильных устройств ;Craft Games - разработка и продвижение игр для мобильных устройств 18;https://voronezh.hh.ru/employer/2788545;IT;2788545
DataArt ;DataArt, ООО 136;https://voronezh.hh.ru/employer/69961;IT;69961
Diasoft ;Diasoft, ООО 73;https://voronezh.hh.ru/employer/154;IT;154
DominiGames ;DominiGames 12;https://voronezh.hh.ru/employer/960062;IT;960062
DSR, Группа Компаний ;DSR, Группа Компаний, ООО 18;https://voronezh.hh.ru/employer/217737;IT;217737
EGAR TECHNOLOGY, INC. ;EGAR TECHNOLOGY, INC., ООО 29;https://voronezh.hh.ru/employer/4917;IT;4917
esteIT ;esteIT, ООО 8;https://voronezh.hh.ru/employer/71193;IT;71193
FoodPlex ;FoodPlex 28;https://voronezh.hh.ru/employer/1772667;IT;1772667
Gaijin Entertainment ;Gaijin Entertainment, ООО 17;https://voronezh.hh.ru/employer/1938;IT;1938
GSPD ;GSPD 8;https://voronezh.hh.ru/employer/1882496;IT;1882496
Mail.Ru Group;Mail.Ru Group 371;https://voronezh.hh.ru/employer/15478;IT;15478
Netcracker Technology Corp. ;Netcracker Technology Corp. 121;https://voronezh.hh.ru/employer/3945;IT;3945
Noorsoft ;Noorsoft 2;https://voronezh.hh.ru/employer/2778644;IT;2778644
Playrix ;Playrix 27;https://voronezh.hh.ru/employer/114448;IT;114448
