employer_name;employer_id2;employer_type;employer_id;Позиция в рейтинге;Изменение позиции в рейтинге;Номер лицензии;Регион регистрации;Январь, 2020, тыс. рублей;Декабрь, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %
Металлинвестбанк;3162;bank;;67;-2;2440;Москва и обл.;100 942 923,00;99 041 455,00;1 901 468,00;1,92
ВУЗ-Банк;;bank;;68;-2;1557;Свердловская обл.;100 375 848,00;95 335 719,00;5 040 129,00;5,29
СКБ-Банк;33305;bank;;69;-2;705;Свердловская обл.;90 417 580,00;93 609 471,00;-3 191 891,00;-3,41
Мидзухо Банк;24215;bank;;70;-1;3337;Москва и обл.;85 247 073,00;83 297 951,00;1 949 122,00;2,34
Эйч-Эс-Би-Си Банк (HSBC);;bank;;71;1;3290;Москва и обл.;82 148 370,00;78 363 580,00;3 784 790,00;4,83
Экспобанк;798;bank;;72;-1;2998;Москва и обл.;79 033 982,00;80 192 495,00;-1 158 513,00;-1,44
Тойота Банк;46275;bank;;73;0;3470;Москва и обл.;77 526 203,00;77 946 654,00;-420 451,00;-0,54
Балтинвестбанк;;bank;;74;0;3176;Санкт-Петербург и обл.;74 886 876,00;76 046 459,00;-1 159 583,00;-1,52
Сумитомо Мицуи;;bank;;75;6;3494;Москва и обл.;74 769 473,00;66 990 124,00;7 779 349,00;11,61
Меткомбанк (Каменск-Уральский);41432;bank;;76;-1;2443;Свердловская обл.;74 070 180,00;75 067 008,00;-996 828,00;-1,33
СДМ-Банк;4256;bank;;77;1;1637;Москва и обл.;73 237 798,00;70 274 806,00;2 962 992,00;4,22
Левобережный;;bank;;78;1;1343;Новосибирская обл.;71 874 567,00;68 472 357,00;3 402 210,00;4,97
БКС Банк;;bank;;79;-2;101;Москва и обл.;71 436 009,00;70 377 960,00;1 058 049,00;1,5
Эм-Ю-Эф-Джи Банк (Евразия);19908;bank;;80;3;3465;Москва и обл.;71 318 022,00;66 204 938,00;5 113 084,00;7,72
ББР Банк;3323;bank;;81;6;2929;Москва и обл.;69 100 654,00;58 541 229,00;10 559 425,00;18,04
Банк Интеза;589;bank;;82;-2;2216;Москва и обл.;67 846 588,00;67 403 624,00;442 964,00;0,66
Примсоцбанк;770915;bank;;83;-1;2733;Приморский край;66 195 164,00;66 752 701,00;-557 537,00;-0,84
Платежный Центр;;bank;;84;17;3166;Новосибирская обл.;63 623 170,00;46 719 001,00;16 904 169,00;36,18
АйСиБиСи Банк;68757;bank;;85;-1;3475;Москва и обл.;59 828 774,00;66 111 659,00;-6 282 885,00;-9,5
Севергазбанк;;bank;;86;2;2816;Вологодская обл.;59 705 740,00;58 096 364,00;1 609 376,00;2,77
Крайинвестбанк;;bank;;87;-1;3360;Краснодарский край;59 643 103,00;59 909 772,00;-266 669,00;-0,45
Коммерцбанк (Евразия);8943;bank;;88;-3;3333;Москва и обл.;58 642 198,00;61 541 757,00;-2 899 559,00;-4,71
Челиндбанк;742453;bank;;89;2;485;Челябинская обл.;57 704 774,00;57 168 923,00;535 851,00;0,94
Фора-Банк;37151;bank;;90;0;1885;Москва и обл.;57 193 501,00;57 439 979,00;-246 478,00;-0,43
Киви Банк;;bank;3159173;91;8;2241;Москва и обл.;56 772 938,00;48 496 906,00;8 276 032,00;17,07
Челябинвестбанк;1203065;bank;;92;1;493;Челябинская обл.;56 211 618,00;55 569 599,00;642 019,00;1,16
Росгосстрах Банк;3782;bank;;93;-1;3073;Москва и обл.;53 887 179,00;56 526 943,00;-2 639 764,00;-4,67
Генбанк;632193;bank;;94;1;2490;Симферополь;52 827 633,00;51 882 415,00;945 218,00;1,82
Энерготрансбанк;1097062;bank;;95;-6;1307;Калининградская обл.;49 995 441,00;57 639 145,00;-7 643 704,00;-13,26
Газэнергобанк;110688;bank;;96;1;3252;Калужская обл.;49 676 651,00;49 261 868,00;414 783,00;0,84
Саровбизнесбанк;191710;bank;;97;3;2048;Нижегородская обл.;48 491 970,00;47 592 726,00;899 244,00;1,89
СЭБ Банк;;bank;;98;-2;3235;Санкт-Петербург и обл.;48 341 663,00;49 813 498,00;-1 471 835,00;-2,95
Аресбанк;844872;bank;;99;4;2914;Москва и обл.;47 601 684,00;44 671 828,00;2 929 856,00;6,56
Фольксваген Банк Рус;;bank;;100;5;3500;Москва и обл.;47 192 867,00;43 897 284,00;3 295 583,00;7,51
